,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
372,210000.0,2 bedroom flat for sale,"6 Tytler Court, Edinburgh, EH8",http://www.rightmove.co.uk/properties/101827445,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Scotland-151100.html,EH8,2.0,2021-01-17 16:42:17.951429,
373,210000.0,2 bedroom flat for sale,"6/15 Hawthornden Place, Leith, Edinburgh, EH7 4RG",http://www.rightmove.co.uk/properties/84976828,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH7,2.0,2021-01-17 16:42:17.951429,"Hawthornden Place, Pilrig, Leith Central, City of Edinburgh, Scotland, EH7 4RG, United Kingdom"
374,210000.0,2 bedroom flat for sale,"Albion Gardens, Easter Road, Edinburgh, EH7",http://www.rightmove.co.uk/properties/84394309,http://www.rightmove.co.uk/estate-agents/agent/MOV8-Real-Estate-Principal-GPM-Branch/Scotland-Head-Office-138737.html,EH7,2.0,2021-01-17 16:42:17.951429,
375,995000.0,3 bedroom apartment for sale,"Great King Street, Edinburgh",http://www.rightmove.co.uk/properties/77047455,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,3.0,2021-01-17 16:42:17.951429,"Great King Street, New Town, New Town/Broughton, City of Edinburgh, Scotland, EH3 6QR, United Kingdom"
376,210000.0,2 bedroom flat for sale,"Watson Crescent, Edinburgh",http://www.rightmove.co.uk/properties/88294423,http://www.rightmove.co.uk/estate-agents/agent/Yopa/Scotland-77046.html,,2.0,2021-01-17 16:42:17.951429,"Watson Crescent, Merchiston, City of Edinburgh, Scotland, EH11 1HD, United Kingdom"
377,209995.0,2 bedroom ground floor flat for sale,"89 Broughton Road, Broughton, EH7 4EG",http://www.rightmove.co.uk/properties/96452135,http://www.rightmove.co.uk/estate-agents/agent/Deans-Properties/Newington-128743.html,EH7,2.0,2021-01-17 16:42:17.951429,"89, Broughton Road, Canonmills, New Town/Broughton, City of Edinburgh, Scotland, EH7 4EG, United Kingdom"
378,205000.0,2 bedroom flat for sale,"55/5 Orchard Brae Gardens, Stockbridge, Edinburgh, EH4 2UQ",http://www.rightmove.co.uk/properties/99786629,http://www.rightmove.co.uk/estate-agents/agent/Umega/Edinburgh-224744.html,EH4,2.0,2021-01-17 16:42:17.951429,"Orchard Brae, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NY, United Kingdom"
379,205000.0,2 bedroom flat for sale,"Bothwell Street, Easter Road, Edinburgh, EH7",http://www.rightmove.co.uk/properties/82087852,http://www.rightmove.co.uk/estate-agents/agent/MOV8-Real-Estate-Principal-GPM-Branch/Scotland-Head-Office-138737.html,EH7,2.0,2021-01-17 16:42:17.951429,
380,205000.0,2 bedroom ground floor flat for sale,"1/3 Hawthornden Place, Edinburgh, EH7 4RF",http://www.rightmove.co.uk/properties/86332081,http://www.rightmove.co.uk/estate-agents/agent/Simpson-and-Marwick/Edinburgh-15605.html,EH7,2.0,2021-01-17 16:42:17.951429,"Hawthornden Place, Pilrig, Leith Central, City of Edinburgh, Scotland, EH7 4PT, United Kingdom"
381,200000.0,2 bedroom flat for sale,"Albion Gardens, Easter Road, Edinburgh, EH7",http://www.rightmove.co.uk/properties/84025510,http://www.rightmove.co.uk/estate-agents/agent/MOV8-Real-Estate-Principal-GPM-Branch/Scotland-Head-Office-138737.html,EH7,2.0,2021-01-17 16:42:17.951429,
